SESSION_ID,CONSUMED_QUANTITY,DESCRIPTION
40200000892,,LSHFO 0.5
40200000892,,LSMGO 0.5
40200000896,5.2,LSHFO 0.5
40200000896,0,LSMGO 0.5
40200000901,0,LSHFO 0.5
40200000901,0,LSMGO 0.5
40200000905,3.2,LSHFO 0.5
40200000905,,LSMGO 0.5
40200000909,7.7,LSHFO 0.5
40200000909,,LSMGO 0.5
40200000919,2.7,LSHFO 0.5
40200000919,0,LSMGO 0.5
40200000923,0,LSHFO 0.5
40200000923,0,LSMGO 0.5
40200000934,1.4,LSHFO 0.5
40200000934,,LSMGO 0.5
40200000939,0,LSHFO 0.5
40200000939,0,LSMGO 0.5
40200000943,1.7,LSHFO 0.5
40200000943,0,LSMGO 0.5
40200000947,5,LSHFO 0.5
40200000947,0,LSMGO 0.5
40200000954,0.3,LSHFO 0.5
40200000954,,LSMGO 0.5
40200000959,0,LSHFO 0.5
40200000959,0,LSMGO 0.5
40200000964,1.8,LSHFO 0.5
40200000964,0,LSMGO 0.5
40200000969,0,LSHFO 0.5
40200000969,0,LSMGO 0.5
40200000973,3.4,LSHFO 0.5
40200000973,0,LSMGO 0.5
40200000977,7,LSHFO 0.5
40200000977,0,LSMGO 0.5
40200000988,1,LSHFO 0.5
40200000988,,LSMGO 0.5
40200000992,0,LSHFO 0.5
40200000992,,LSMGO 0.5
40200000996,2.8,LSHFO 0.5
40200000996,,LSMGO 0.5
40200001000,0,LSHFO 0.5
40200001000,0,LSMGO 0.5
40200001005,2,LSHFO 0.5
40200001005,,LSMGO 0.5
40200001009,0,LSHFO 0.5
40200001009,0,LSMGO 0.5
40200001014,2.1,LSHFO 0.5
40200001014,0,LSMGO 0.5
40200001021,7.7,LSHFO 0.5
40200001021,,LSMGO 0.5
40200001023,0.5,LSHFO 0.5
40200001023,0,LSMGO 0.5
40200001029,0,LSHFO 0.5
40200001029,,LSMGO 0.5
40200001033,6,LSHFO 0.5
40200001033,0,LSMGO 0.5
40200001037,0,LSHFO 0.5
40200001037,,LSMGO 0.5
40200001042,,LSHFO 0.5
40200001042,,LSMGO 0.5
40200001044,8.5,LSHFO 0.5
40200001044,0,LSMGO 0.5
40200001053,0.7,LSHFO 0.5
40200001053,0,LSMGO 0.5
40200001058,0,LSHFO 0.5
40200001058,,LSMGO 0.5
40200001062,1.9,LSHFO 0.5
40200001062,0,LSMGO 0.5
40200001066,0,LSHFO 0.5
40200001066,0,LSMGO 0.5
40200001071,3.5,LSHFO 0.5
40200001071,,LSMGO 0.5
40200001075,0,LSHFO 0.5
40200001075,0,LSMGO 0.5
40200001079,2,LSHFO 0.5
40200001079,,LSMGO 0.5
40200001083,7,LSHFO 0.5
40200001083,,LSMGO 0.5
40200001089,0.1,LSHFO 0.5
40200001089,,LSMGO 0.5
40200001094,0,LSHFO 0.5
40200001094,0,LSMGO 0.5
40200001098,3.5,LSHFO 0.5
40200001098,,LSMGO 0.5
40200001102,19.5,LSHFO 0.5
40200001102,0,LSMGO 0.5
40200001109,1,LSHFO 0.5
40200001109,,LSMGO 0.5
40200001113,0,LSHFO 0.5
40200001113,0,LSMGO 0.5
40200001120,2,LSHFO 0.5
40200001120,,LSMGO 0.5
40200001124,0,LSHFO 0.5
40200001124,0,LSMGO 0.5
40200001128,3,LSHFO 0.5
40200001128,,LSMGO 0.5
40200001134,16.55,LSHFO 0.5
40200001134,0,LSMGO 0.5
40200001147,0.1,LSHFO 0.5
40200001147,,LSMGO 0.5
40200001151,0,LSHFO 0.5
40200001151,,LSMGO 0.5
40200001155,2.1,LSHFO 0.5
40200001155,0,LSMGO 0.5
40200001159,0,LSHFO 0.5
40200001159,0,LSMGO 0.5
40200001168,1,LSHFO 0.5
40200001168,,LSMGO 0.5
40200001174,0,LSHFO 0.5
40200001174,,LSMGO 0.5
40200001201,1.2,LSHFO 0.5
40200001201,,LSMGO 0.5
40200001205,7,LSHFO 0.5
40200001205,,LSMGO 0.5
40200001223,1,LSHFO 0.5
40200001223,,LSMGO 0.5
40200001227,0,LSHFO 0.5
40200001227,,LSMGO 0.5
40200001231,2.2,LSHFO 0.5
40200001231,,LSMGO 0.5
40200001235,0,LSHFO 0.5
40200001235,0,LSMGO 0.5
40200001239,2,LSHFO 0.5
40200001239,0,LSMGO 0.5
40200001243,8,LSHFO 0.5
40200001243,,LSMGO 0.5
40200001251,1,LSHFO 0.5
40200001251,,LSMGO 0.5
40200001255,0,LSHFO 0.5
40200001255,,LSMGO 0.5
40200001259,1.98,LSHFO 0.5
40200001259,,LSMGO 0.5
40200001263,,LSHFO 0.5
40200001263,,LSMGO 0.5
40200001267,1.4,LSHFO 0.5
40200001267,,LSMGO 0.5
40200001271,5.5,LSHFO 0.5
40200001271,,LSMGO 0.5
40200001277,22,LSHFO 0.5
40200001277,,LSMGO 0.5
40200001282,0,LSHFO 0.5
40200001282,0,LSMGO 0.5
40200001287,1.95,LSHFO 0.5
40200001287,0,LSMGO 0.5
40200001291,28,LSHFO 0.5
40200001291,,LSMGO 0.5
40200001293,35,LSHFO 0.5
40200001293,,LSMGO 0.5
40200001295,26,LSHFO 0.5
40200001295,,LSMGO 0.5
40200001301,0.6,LSHFO 0.5
40200001301,,LSMGO 0.5
40200001305,0,LSHFO 0.5
40200001305,,LSMGO 0.5
40200001307,,LSHFO 0.5
40200001307,,LSMGO 0.5
40200001309,,LSHFO 0.5
40200001309,,LSMGO 0.5
40200001311,,LSHFO 0.5
40200001311,,LSMGO 0.5
40200001330,,LSHFO 0.5
40200001330,,LSMGO 0.5
40200001332,0,LSHFO 0.5
40200001332,0,LSMGO 0.5
40200001334,0,LSHFO 0.5
40200001334,0,LSMGO 0.5
40200001336,,LSHFO 0.5
40200001336,,LSMGO 0.5
40200001338,,LSHFO 0.5
40200001338,,LSMGO 0.5
40200001340,,LSHFO 0.5
40200001340,,LSMGO 0.5
40200001342,,LSHFO 0.5
40200001342,,LSMGO 0.5
40200001344,0,LSHFO 0.5
40200001344,0,LSMGO 0.5
40200001346,,LSHFO 0.5
40200001346,,LSMGO 0.5
40200001349,,LSHFO 0.5
40200001349,,LSMGO 0.5
40200001352,0,LSHFO 0.5
40200001352,0,LSMGO 0.5
40200001356,2.2,LSHFO 0.5
40200001356,,LSMGO 0.5
40200001361,0,LSHFO 0.5
40200001361,0,LSMGO 0.5
40200001365,1.5,LSHFO 0.5
40200001365,,LSMGO 0.5
40200001370,33,LSHFO 0.5
40200001370,0,LSMGO 0.5
40200001372,26,LSHFO 0.5
40200001372,0,LSMGO 0.5
40200001374,16,LSHFO 0.5
40200001374,,LSMGO 0.5
40200001376,17,LSHFO 0.5
40200001376,,LSMGO 0.5
40200001395,0,LSHFO 0.5
40200001395,0,LSMGO 0.5
40200001400,5,LSHFO 0.5
40200001400,,LSMGO 0.5
40200001404,14,LSHFO 0.5
40200001404,,LSMGO 0.5
40200001410,0.5,LSHFO 0.5
40200001410,0,LSMGO 0.5
40200001414,0,LSHFO 0.5
40200001414,0,LSMGO 0.5
40200001420,1.2,LSHFO 0.5
40200001420,0,LSMGO 0.5
40200001424,0,LSHFO 0.5
40200001424,0,LSMGO 0.5
40200001428,3,LSHFO 0.5
40200001428,0,LSMGO 0.5
40200001432,0,LSHFO 0.5
40200001432,0,LSMGO 0.5
40200001436,3.59,LSHFO 0.5
40200001436,0,LSMGO 0.5
40200001440,8,LSHFO 0.5
40200001440,,LSMGO 0.5
40200001446,3,LSHFO 0.5
40200001446,0,LSMGO 0.5
40200001450,0,LSHFO 0.5
40200001450,0,LSMGO 0.5
40200001454,4.2,LSHFO 0.5
40200001454,0,LSMGO 0.5
40200001458,9.24,LSHFO 0.5
40200001458,0,LSMGO 0.5
40200001465,1.6,LSHFO 0.5
40200001465,0,LSMGO 0.5
40200001469,,LSHFO 0.5
40200001469,,LSMGO 0.5
40200001471,0,LSHFO 0.5
40200001471,0,LSMGO 0.5
40200001473,0,LSHFO 0.5
40200001473,0,LSMGO 0.5
40200001475,0,LSHFO 0.5
40200001475,0,LSMGO 0.5
40200001477,0,LSHFO 0.5
40200001477,0,LSMGO 0.5
40200001479,,LSHFO 0.5
40200001479,,LSMGO 0.5
40200001483,2.1,LSHFO 0.5
40200001483,,LSMGO 0.5
40200001493,10,LSHFO 0.5
40200001493,,LSMGO 0.5
40200001499,4.3,LSHFO 0.5
40200001499,,LSMGO 0.5
40200001503,0,LSHFO 0.5
40200001503,0,LSMGO 0.5
40200001507,2.8,LSHFO 0.5
40200001507,,LSMGO 0.5
40200001533,0,LSHFO 0.5
40200001533,0,LSMGO 0.5
40200001537,1.6,LSHFO 0.5
40200001537,,LSMGO 0.5
40200001541,0,LSHFO 0.5
40200001541,0,LSMGO 0.5
40200001545,1.55,LSHFO 0.5
40200001545,,LSMGO 0.5
40200001555,9.2,LSHFO 0.5
40200001555,,LSMGO 0.5
40200001560,1.2,LSHFO 0.5
40200001560,0,LSMGO 0.5
40200001564,0,LSHFO 0.5
40200001564,0,LSMGO 0.5
40200001571,2.8,LSHFO 0.5
40200001571,0,LSMGO 0.5
40200001575,0,LSHFO 0.5
40200001575,0,LSMGO 0.5
40200001580,2.5,LSHFO 0.5
40200001580,,LSMGO 0.5
40200001584,14,LSHFO 0.5
40200001584,,LSMGO 0.5
40200001636,2.5,LSHFO 0.5
40200001636,0,LSMGO 0.5
40200001640,,LSHFO 0.5
40200001640,,LSMGO 0.5
40200001644,2.6,LSHFO 0.5
40200001644,0,LSMGO 0.5
40200001648,0,LSHFO 0.5
40200001648,0,LSMGO 0.5
40200001652,1.3,LSHFO 0.5
40200001652,,LSMGO 0.5
40200001656,,LSHFO 0.5
40200001656,,LSMGO 0.5
40200001660,1.4,LSHFO 0.5
40200001660,0,LSMGO 0.5
40200001664,12,LSHFO 0.5
40200001664,,LSMGO 0.5
40200001670,1.8,LSHFO 0.5
40200001670,0,LSMGO 0.5
40200001674,0,LSHFO 0.5
40200001674,0,LSMGO 0.5
40200001678,1.8,LSHFO 0.5
40200001678,,LSMGO 0.5
40200001682,,LSHFO 0.5
40200001682,,LSMGO 0.5
40200001686,1.85,LSHFO 0.5
40200001686,,LSMGO 0.5
40200001690,6.5,LSHFO 0.5
40200001690,,LSMGO 0.5
40200001696,,LSHFO 0.5
40200001696,,LSMGO 0.5
40200001700,0,LSHFO 0.5
40200001700,0,LSMGO 0.5
40200001704,2.4,LSHFO 0.5
40200001704,,LSMGO 0.5
40200001708,,LSHFO 0.5
40200001708,,LSMGO 0.5
40200001712,,LSHFO 0.5
40200001712,,LSMGO 0.5
40200001720,0.5,LSHFO 0.5
40200001720,,LSMGO 0.5
40200001724,0,LSHFO 0.5
40200001724,0,LSMGO 0.5
40200001728,0.4,LSHFO 0.5
40200001728,,LSMGO 0.5
40200001732,0,LSHFO 0.5
40200001732,0,LSMGO 0.5
40200001736,1.3,LSHFO 0.5
40200001736,0,LSMGO 0.5
40200001740,0,LSHFO 0.5
40200001740,0,LSMGO 0.5
40200001744,1.8,LSHFO 0.5
40200001744,0,LSMGO 0.5
40200001748,4.8,LSHFO 0.5
40200001748,,LSMGO 0.5
40200001754,0.8,LSHFO 0.5
40200001754,,LSMGO 0.5
40200001758,0,LSHFO 0.5
40200001758,0,LSMGO 0.5
40200001762,1.2,LSHFO 0.5
40200001762,,LSMGO 0.5
40200001766,0,LSHFO 0.5
40200001766,0,LSMGO 0.5
40200001770,1.8,LSHFO 0.5
40200001770,0,LSMGO 0.5
40200001774,5.1,LSHFO 0.5
40200001774,,LSMGO 0.5
40200001784,1.1,LSHFO 0.5
40200001784,0,LSMGO 0.5
40200001789,0,LSHFO 0.5
40200001789,0,LSMGO 0.5
40200001793,1.1,LSHFO 0.5
40200001793,0,LSMGO 0.5
40200001797,6.7,LSHFO 0.5
40200001797,0,LSMGO 0.5
40200001803,0.7,LSHFO 0.5
40200001803,,LSMGO 0.5
40200001807,0,LSHFO 0.5
40200001807,0,LSMGO 0.5
40200001811,1.4,LSHFO 0.5
40200001811,0,LSMGO 0.5
40200001815,0,LSHFO 0.5
40200001815,0,LSMGO 0.5
40200001819,1.7,LSHFO 0.5
40200001819,0,LSMGO 0.5
40200001823,6.7,LSHFO 0.5
40200001823,,LSMGO 0.5
40200001829,0.4,LSHFO 0.5
40200001829,,LSMGO 0.5
40200001833,0,LSHFO 0.5
40200001833,0,LSMGO 0.5
40200001837,1,LSHFO 0.5
40200001837,,LSMGO 0.5
40200001842,0,LSHFO 0.5
40200001842,0,LSMGO 0.5
40200001846,1,LSHFO 0.5
40200001846,0,LSMGO 0.5
40200001850,37,LSHFO 0.5
40200001850,0,LSMGO 0.5
40200001852,38,LSHFO 0.5
40200001852,0,LSMGO 0.5
40200001858,1.2,LSHFO 0.5
40200001858,,LSMGO 0.5
40200001862,0,LSHFO 0.5
40200001862,0,LSMGO 0.5
40200001864,,LSHFO 0.5
40200001864,,LSMGO 0.5
40200001868,2,LSHFO 0.5
40200001868,0,LSMGO 0.5
40200001872,0,LSHFO 0.5
40200001872,0,LSMGO 0.5
40200001876,0.6,LSHFO 0.5
40200001876,0,LSMGO 0.5
40200001880,,LSHFO 0.5
40200001880,,LSMGO 0.5
40200001884,0.2,LSHFO 0.5
40200001884,,LSMGO 0.5
40200001888,24.5,LSHFO 0.5
40200001888,0,LSMGO 0.5
40200001894,0.7,LSHFO 0.5
40200001894,0,LSMGO 0.5
40200001898,0,LSHFO 0.5
40200001898,0,LSMGO 0.5
40200001902,0.7,LSHFO 0.5
40200001902,0,LSMGO 0.5
40200001906,25.1,LSHFO 0.5
40200001906,,LSMGO 0.5
40200001913,0.7,LSHFO 0.5
40200001913,0,LSMGO 0.5
40200001917,0,LSHFO 0.5
40200001917,0,LSMGO 0.5
40200001921,0.7,LSHFO 0.5
40200001921,0,LSMGO 0.5
40200001925,0,LSHFO 0.5
40200001925,0,LSMGO 0.5
40200001930,0.7,LSHFO 0.5
40200001930,0,LSMGO 0.5
40200001934,0,LSHFO 0.5
40200001934,0,LSMGO 0.5
40200001938,1,LSHFO 0.5
40200001938,,LSMGO 0.5
40200001942,8.4,LSHFO 0.5
40200001942,,LSMGO 0.5
40200001948,0.3,LSHFO 0.5
40200001948,0,LSMGO 0.5
40200001953,0,LSHFO 0.5
40200001953,0,LSMGO 0.5
40200001957,2.6,LSHFO 0.5
40200001957,0,LSMGO 0.5
40200001969,0,LSHFO 0.5
40200001969,0,LSMGO 0.5
40200001973,1.8,LSHFO 0.5
40200001973,0,LSMGO 0.5
40200001977,6.2,LSHFO 0.5
40200001977,,LSMGO 0.5
40200001983,0.27,LSHFO 0.5
40200001983,,LSMGO 0.5
40200001987,,LSHFO 0.5
40200001987,,LSMGO 0.5
40200001991,0.6,LSHFO 0.5
40200001991,,LSMGO 0.5
40200001995,0,LSHFO 0.5
40200001995,0,LSMGO 0.5
40200001997,,LSHFO 0.5
40200001997,,LSMGO 0.5
40200002001,1.1,LSHFO 0.5
40200002001,,LSMGO 0.5
40200002006,,LSHFO 0.5
40200002006,,LSMGO 0.5
40200002010,2.5,LSHFO 0.5
40200002010,,LSMGO 0.5
40200002020,1.4,LSHFO 0.5
40200002020,0,LSMGO 0.5
40200002025,,LSHFO 0.5
40200002025,,LSMGO 0.5
40200002027,,LSHFO 0.5
40200002027,,LSMGO 0.5
40200002029,,LSHFO 0.5
40200002029,,LSMGO 0.5
40200002033,1.6,LSHFO 0.5
40200002033,,LSMGO 0.5
40200002038,,LSHFO 0.5
40200002038,,LSMGO 0.5
40200002043,3.5,LSHFO 0.5
40200002043,,LSMGO 0.5
40200002047,6,LSHFO 0.5
40200002047,0,LSMGO 0.5
40200002053,1.4,LSHFO 0.5
40200002053,,LSMGO 0.5
40200002057,,LSHFO 0.5
40200002057,,LSMGO 0.5
40200002061,1.6,LSHFO 0.5
40200002061,,LSMGO 0.5
40200002065,,LSHFO 0.5
40200002065,,LSMGO 0.5
40200002069,0.6,LSHFO 0.5
40200002069,,LSMGO 0.5
40200002073,,LSHFO 0.5
40200002073,,LSMGO 0.5
40200002077,1,LSHFO 0.5
40200002077,,LSMGO 0.5
40200002081,,LSHFO 0.5
40200002081,,LSMGO 0.5
40200002085,3,LSHFO 0.5
40200002085,,LSMGO 0.5
40200002089,7,LSHFO 0.5
40200002089,,LSMGO 0.5
40200002095,0.5,LSHFO 0.5
40200002095,0,LSMGO 0.5
40200002099,0,LSHFO 0.5
40200002099,0,LSMGO 0.5
40200002101,0,LSHFO 0.5
40200002101,0,LSMGO 0.5
40200002106,4,LSHFO 0.5
40200002106,0,LSMGO 0.5
40200002111,,LSHFO 0.5
40200002111,,LSMGO 0.5
40200002115,4,LSHFO 0.5
40200002115,,LSMGO 0.5
40200002119,5,LSHFO 0.5
40200002119,,LSMGO 0.5
40200002129,1.5,LSHFO 0.5
40200002129,,LSMGO 0.5
40200002133,,LSHFO 0.5
40200002133,,LSMGO 0.5
40200002137,1.5,LSHFO 0.5
40200002137,,LSMGO 0.5
40200002142,0,LSHFO 0.5
40200002142,0,LSMGO 0.5
40200002146,1.5,LSHFO 0.5
40200002146,,LSMGO 0.5
40200002150,,LSHFO 0.5
40200002150,,LSMGO 0.5
40200002154,3,LSHFO 0.5
40200002154,,LSMGO 0.5
40200002158,5,LSHFO 0.5
40200002158,,LSMGO 0.5
40200002164,1.2,LSHFO 0.5
40200002164,,LSMGO 0.5
40200002168,,LSHFO 0.5
40200002168,,LSMGO 0.5
40200002173,2.5,LSHFO 0.5
40200002173,,LSMGO 0.5
40200002177,,LSHFO 0.5
40200002177,,LSMGO 0.5
40200002181,2.5,LSHFO 0.5
40200002181,,LSMGO 0.5
40200002185,7,LSHFO 0.5
40200002185,,LSMGO 0.5
40200002191,1.5,LSHFO 0.5
40200002191,,LSMGO 0.5
40200002195,,LSHFO 0.5
40200002195,,LSMGO 0.5
40200002197,,LSHFO 0.5
40200002197,,LSMGO 0.5
40200002201,2,LSHFO 0.5
40200002201,,LSMGO 0.5
40200002205,5,LSHFO 0.5
40200002205,0,LSMGO 0.5
40200002211,0.5,LSHFO 0.5
40200002211,,LSMGO 0.5
40200002215,,LSHFO 0.5
40200002215,,LSMGO 0.5
40200002219,0.5,LSHFO 0.5
40200002219,,LSMGO 0.5
40200002223,,LSHFO 0.5
40200002223,,LSMGO 0.5
40200002227,0.25,LSHFO 0.5
40200002227,,LSMGO 0.5
40200002231,3,LSHFO 0.5
40200002231,,LSMGO 0.5
40200002237,1.5,LSHFO 0.5
40200002237,,LSMGO 0.5
40200002241,,LSHFO 0.5
40200002241,,LSMGO 0.5
40200002245,3,LSHFO 0.5
40200002245,,LSMGO 0.5
40200002249,,LSHFO 0.5
40200002249,,LSMGO 0.5
40200002253,2,LSHFO 0.5
40200002253,,LSMGO 0.5
40200002257,7,LSHFO 0.5
40200002257,,LSMGO 0.5
